time	count
1306667.811	1.00
1306671.169	0.50
1306676.051	1.00
1306680.523	0.50
1306685.372	1.00
1306688.634	0.50
1306692.987	1.00
1306696.272	0.50
1306701.710	1.00
1306706.054	0.50
1306710.872	1.00
1306714.195	0.50
1306719.516	1.00
1306723.164	0.50
1306727.419	1.00
1306730.709	0.50
1306739.454	1.00
1306745.991	0.50
1306751.542	1.00
1306756.065	0.50
1306756.354	0.00
1306761.979	0.50
1306766.736	0.00
1306773.560	0.50
1306776.655	1.00
1306781.569	0.50
1306790.612	0.00
1306792.355	0.50
1306802.720	1.00
1306806.557	0.50
1306811.402	0.00
1306869.300	0.50
1306875.443	0.00
1306886.823	0.50
1306898.727	0.00
1306924.051	0.50
1306929.726	0.00
1306948.288	0.50
1306999.684	1.00
1307020.185	0.50
1307038.067	0.00
1307056.365	0.50
1307059.257	1.00
1307084.938	0.50
1307095.699	1.00
1307099.265	0.50
1307154.918	1.00
1307163.906	0.50
1307269.010	1.00
1307275.994	0.50
1307300.490	1.00
1307307.680	0.50
1307478.161	0.00
1307484.883	0.50
1307497.332	1.00
1307515.476	0.50
1307531.573	1.00
1307536.897	0.50
1307545.301	1.00
1307547.707	0.50
1307551.859	0.00
1307575.711	0.50
1307583.147	0.00
1313028.908	0.50
1313043.492	0.00
1313044.487	0.50
1313088.907	0.00
1313107.910	0.50
1313112.001	0.00
1313377.313	0.50
1313383.481	0.00
1313415.699	0.50
1313465.770	0.00
1313482.463	0.50
1313486.229	0.00
1316552.854	0.50
1316569.677	0.00
1316583.573	0.50
1316625.438	0.00
1316644.297	0.50
1316648.163	0.00
1316874.269	0.50
1316881.752	0.00
1316912.943	0.50
1316958.130	0.00
1316974.511	0.50
1316978.142	0.00
1319995.186	0.50
1320025.818	0.00
1320040.609	0.50
1320044.432	0.00
1320214.501	0.50
1320214.870	1.00
1320221.281	0.50
1320270.219	0.00
1320297.734	0.50
1320303.704	0.00
1333333.783	0.50
1333386.811	0.00
1333412.514	0.50
1333412.634	1.00
1333418.805	0.50
1333418.933	0.00
1333430.989	0.50
1333469.596	0.00
1333486.409	0.50
1333490.897	0.00
1346545.220	0.50
1346551.558	1.00
1346557.434	0.50
1346606.273	0.00
1346633.938	0.50
1346640.148	0.00
1347130.799	0.50
1347181.604	0.00
1347201.196	0.50
1347205.096	0.00
1353197.202	0.50
1353243.345	0.00
1353265.362	0.50
1353269.535	0.00
1353631.730	0.50
1353696.535	0.00
1353696.939	0.50
1353712.876	1.00
1353716.802	0.50
1353730.416	0.00
1353754.700	0.50
1353758.956	0.00
1358452.236	0.50
1358458.994	0.00
1358473.590	0.50
1358523.159	0.00
1358542.082	0.50
1358545.952	0.00
1358967.387	0.50
1359027.712	0.00
1359051.943	0.50
1359070.658	0.00
1363809.927	0.50
1363860.938	0.00
1363885.600	0.50
1363890.292	0.00
1364374.287	0.50
1364433.513	0.00
1364452.289	0.50
1364456.250	0.00
1368751.598	0.50
1368796.172	0.00
1368816.259	0.50
1368820.470	0.00
1369233.364	0.50
1369285.700	0.00
1369303.293	0.50
1369306.996	0.00
1373388.953	0.50
1373389.096	1.00
1373396.919	0.50
1373442.745	0.00
1373498.990	0.50
1373505.271	0.00
1373792.113	0.50
1373798.465	0.00
1373807.331	0.50
1373852.739	0.00
1373877.596	0.50
