time	count
1044956.768	1.00
1044957.622	0.50
1044977.578	1.00
1044983.228	0.50
1045043.456	0.00
1045056.568	0.50
1045063.383	1.00
1045069.759	0.50
1045129.604	1.00
1045161.665	0.50
1045193.135	1.00
1045222.693	0.50
1045244.778	1.00
1045294.673	0.50
1045307.601	0.00
1045319.687	0.50
1045327.219	1.00
1045373.960	0.50
1045394.111	1.00
1045447.100	0.50
1045477.587	1.00
1045506.945	0.50
1045516.256	0.00
1045530.483	0.50
1045538.802	1.00
1045572.715	0.50
1045590.083	1.00
1045596.571	0.50
1045606.996	1.00
1045613.389	0.50
1045623.192	1.00
1045627.364	0.50
1045656.151	1.00
1045675.044	0.50
1045696.208	1.00
1045698.593	0.50
1045723.770	1.00
1045730.321	0.50
1045738.104	0.00
1045740.255	0.50
1045762.330	1.00
1045816.314	0.50
1045829.832	1.00
1045834.051	0.50
1045840.224	1.00
1045845.981	0.50
1045884.019	1.00
1045890.352	0.50
1045899.719	1.00
1045917.954	0.50
1045933.357	1.00
1045982.091	0.50
1045999.345	0.00
1046021.175	0.50
1046041.662	0.00
1046056.676	0.50
1046076.892	1.00
1046091.530	0.50
1046099.419	1.00
1046104.230	0.50
1046111.528	1.00
1046117.513	0.50
1046126.367	1.00
1046135.932	0.50
1046171.137	1.00
1046202.563	0.50
1046217.381	1.00
1046250.716	0.50
1046253.709	0.00
1046267.074	0.50
1046278.030	1.00
1046314.988	0.50
1046339.475	1.00
1046346.238	0.50
1046347.300	0.00
1046356.442	0.50
1046361.479	1.00
1046366.368	0.50
1046371.169	1.00
1046376.461	0.50
1046382.603	1.00
1046386.495	0.50
1046392.676	1.00
1046393.607	0.50
1046397.357	0.00
1046403.160	0.50
1046406.375	0.00
1046413.126	0.50
1046413.696	1.00
1046417.530	0.50
1046420.873	0.00
1046424.509	0.50
1046430.009	0.00
1046432.425	0.50
1046436.284	1.00
1046440.982	0.50
1046441.751	0.00
1046446.383	0.50
1046451.457	0.00
1046452.072	0.50
1046458.827	0.00
1046460.896	0.50
1046470.788	1.00
1046477.290	0.50
1046505.755	0.00
1046529.968	0.50
1046535.783	0.00
1046561.498	0.50
1046574.575	0.00
1046575.458	0.50
1046629.117	1.00
1046632.653	0.50
1046651.407	1.00
1046656.178	0.50
1046661.879	1.00
1046686.301	0.50
1046714.430	1.00
1046725.278	0.50
1046731.836	0.00
1046740.944	0.50
1046745.147	1.00
1046745.264	0.50
1046777.346	0.00
1046791.619	0.50
1046792.290	1.00
1046796.714	0.50
1046847.610	0.00
1046858.968	0.50
1046861.463	1.00
1046865.754	0.50
1046953.784	0.00
1046963.523	0.50
1046968.448	1.00
1046972.915	0.50
1047041.315	1.00
1047045.904	0.50
1047060.705	1.00
1047095.389	0.50
1047157.403	1.00
1047168.964	0.50
1047183.873	0.00
1047197.484	0.50
1047219.317	1.00
1047280.431	0.50
1047296.481	0.00
1047308.491	0.50
1047326.874	1.00
1047380.812	0.50
1047384.780	0.00
1047402.395	0.50
1047409.220	1.00
1047457.574	0.50
1047465.051	0.00
1047478.032	0.50
1047485.106	1.00
1047513.167	0.50
1047531.411	1.00
1047559.608	0.50
1047579.867	1.00
1047591.084	0.50
1047600.351	0.00
1047606.599	0.50
1047617.954	1.00
1047648.258	0.50
1047652.121	0.00
1047667.464	0.50
1047704.246	1.00
1047714.252	0.50
1047727.631	1.00
1047733.357	0.50
1047743.823	1.00
1047767.970	0.50
1047866.075	1.00
1047885.816	0.50
1047892.303	0.00
1048028.782	0.50
1048046.924	0.00
1048073.019	0.50
1048079.943	0.00
1048089.840	0.50
1048102.683	0.00
1048111.659	0.50
1048120.678	0.00
1048129.055	0.50
1048135.725	1.00
1048178.094	0.50
1048202.620	1.00
1048208.721	0.50
1048233.751	0.00
1048240.244	0.50
1048253.255	1.00
1048259.273	0.50
1048303.934	1.00
1048310.306	0.50
1048319.181	1.00
1048367.651	0.50
1048535.478	1.00
1048541.225	0.50
1048570.806	1.00
1048584.206	0.50
1048804.548	0.00
1048841.090	0.50
1048854.074	1.00
1048881.903	0.50
1048904.134	0.00
1050297.761	0.50
1050298.787	1.00
1050315.697	0.50
1050316.398	0.00
1144670.598	0.50
1144703.476	0.00
1144732.332	0.50
1144738.433	0.00
1144879.567	0.50
1144915.226	0.00
1144943.824	0.50
1144961.684	0.00
1144974.220	0.50
1144991.831	0.00
1145003.814	0.50
1145008.939	0.00
1145013.909	0.50
1145017.309	0.00
1145021.935	0.50
1145025.293	0.00
1183447.115	0.50
1183505.306	1.00
1183539.347	0.50
1183556.775	0.00
1183567.025	0.50
1183584.044	1.00
1183592.790	0.50
1183620.810	1.00
1183632.883	0.50
1183682.119	1.00
1183686.977	0.50
1183740.807	1.00
1183767.389	0.50
1183786.910	1.00
1183824.028	0.50
1183846.435	1.00
1183856.010	0.50
1183875.602	1.00
1183938.722	0.50
1183966.177	1.00
1183997.470	0.50
1184344.122	1.00
1184386.204	0.50
1184404.214	1.00
1184437.440	0.50
1184459.636	1.00
1184492.880	0.50
1184513.128	1.00
1184539.716	0.50
1184556.087	1.00
1184588.795	0.50
1184610.581	1.00
1184645.091	0.50
1184665.321	1.00
1184688.358	0.50
1184692.744	0.00
1184717.064	0.50
1184721.421	1.00
1184764.287	0.50
1184788.784	1.00
1184801.507	0.50
1184810.844	0.00
1184818.629	0.50
1184847.345	0.00
